,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
AC060766.4,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
SLFN12,False,False,21,0.012131716,98.78682842287695,21.0,False,0.011857035529129645,-0.007791257534394086,-0.6008356
SLFN13,False,False,118,0.07394569,93.18313113807048,128.0,False,0.055712736359879604,0.06687155062408488,-0.41673914
SLFN12L,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC015911.5,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC015911.3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC015911.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
SLFN14,False,False,2,0.0011554015,99.8844598497978,2.0,False,0.001420011385299414,0.1828049019535314,-0.13088162
AC015911.6,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC015911.9,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
SNHG30,False,False,477,0.33506644,72.44367417677643,580.0,False,0.27289355591319653,0.14978332781092255,-0.77221435
PEX12,False,False,10,0.0057770074,99.42229924898902,10.0,False,0.003563330287367272,0.06496194096851914,-0.42144766
AP2B1,False,False,681,0.6129405,60.65857885615251,1061.0,False,0.4368974374270712,0.4522843507335514,0.34555057
TAF15,False,False,822,0.74754477,52.512998266897746,1294.0,False,0.5424992575245254,0.3252044048916567,-0.3192264
RASL10B,False,False,7,0.004043905,99.59560947429232,7.0,False,0.003916681465185793,0.0198111546304925,-0.53277624
GAS2L2,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.0007114433008788358,0.15641999452940114,-0.19593903
MMP28,False,False,128,0.081455804,92.6054303870595,141.0,False,0.09981319587332114,0.4997058742738847,0.65050286
AC006237.1,False,False,4,0.002310803,99.7689196995956,4.0,False,0.0028889934767237814,0.20263226970770942,-0.08199318
C17orf50,False,False,8,0.004621606,99.53783939919121,8.0,False,0.005753270605314606,0.19087981310092875,-0.11097127
AC015849.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC015849.3,False,False,48,0.028885037,97.22703639514731,50.0,False,0.030119788091208702,0.29634860245370753,0.1490837
AC015849.4,False,False,5,0.0028885037,99.71114962449451,5.0,False,0.002125962106295212,-0.1010815560423016,-0.83086205
HEATR9,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.0005753831251325531,-0.0559076421999243,-0.71947646
AC015849.1,False,False,2,0.0011554015,99.8844598497978,2.0,False,0.0008660561386550082,-0.23797920226641459,-1.1684114
CCL5,False,False,18,0.024841132,98.96013864818023,43.0,True,0.02756090819313168,1.9057836674328041,4.1174765
RDM1,False,False,33,0.020219527,98.09358752166378,35.0,False,0.013556396281360652,-0.2706686880211344,-1.249014
LYZL6,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.00038806491582445894,-0.4498647859664646,-1.6908588
CCL16,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
CCL14,False,False,4,0.016753322,99.7689196995956,29.0,True,0.01650276120522879,3.308314279981954,7.575704
AC244100.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
CCL15,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC244100.3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC244100.4,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
CCL23,False,False,27,0.016753322,98.44020797227037,29.0,False,0.014496921082478118,0.10332362856417618,-0.32685906
CCL18,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC243829.4,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
CCL3,False,False,5,0.0034662045,99.71114962449451,6.0,True,0.004673490716669876,0.9229742649419478,1.6941581
