,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
BRCA2,False,False,306,0.2357019,82.32235701906411,408.0,True,0.1810837345130608,0.9063404461904978,1.653144
STARD13,False,False,38,0.024263432,97.80473714615829,42.0,True,0.0343606956150552,0.914788585580547,1.6739746
AL138999.2,False,False,2,0.0011554015,99.8844598497978,2.0,True,0.002601582324518877,0.9809992456107872,1.8372306
CCNA1,False,False,7,0.0057770074,99.59560947429232,10.0,True,0.006873289338154473,1.1906426975733213,2.3541496
AL354809.1,False,False,11,0.006354708,99.36452917388793,11.0,True,0.008146347705146363,0.7502083756089603,1.2681682
FOXO1,False,False,440,0.37088388,74.58116695551705,642.0,True,0.37599194410396014,1.0583023522557589,2.5848343
AL354696.2,False,False,81,0.05372617,95.32062391681109,93.0,True,0.06268736208276014,0.9145771306872632,1.6734532
RGCC,False,False,480,0.5413056,72.27036395147314,937.0,True,0.41734274326676757,1.325706820841373,3.5729148
TSC22D1,False,False,1004,1.2362796,41.998844598497975,2140.0,True,0.8472096038064667,1.3695708654001457,1.9335275
TPT1,False,False,1706,38.5985,1.444251877527436,66814.0,True,3.7252967309705274,2.0291428095825217,2.4952848
RUBCNL,False,False,9,0.0051993066,99.48006932409012,9.0,True,0.011644639970225265,1.2375169058609519,2.4697275
